;date;cluster_center_lat;cluster_center_lon;Country/Sea;Region;DAY/NIGHT;cluster_category;cluster_indicators;ndetection;cluster_number
242687;2026-06-01;-8.530578;65.687355;Indian Ocean;;NIGHT;Unclassified;CO2:2;2;L2_37
242689;2026-06-01;18.659645;63.248997;Arabian Sea;;NIGHT;Unclassified;SO2:2;2;L2_38
242691;2026-06-01;29.28994;56.78146;Iran;Kerman;NIGHT;Unclassified;C2H4:1,HNO3:8,CO2:1,SO2:7;17;L2_40
242724;2026-06-01;22.0692;-21.679722;North Atlantic Ocean;;DAY;Unclassified;HNO3:1,NH3:1;2;L2_41
242725;2026-06-01;22.592268;-13.681888;Morocco;Oued el Dahab;DAY;Unclassified;SO2:1;1;L2_42
242726;2026-06-01;4.8412814;-128.19246;North Pacific Ocean;;DAY;Unclassified;HCOOH:2;2;L2_43
242728;2026-06-01;18.563974;-128.53877;North Pacific Ocean;;DAY;Unclassified;NH3:2;2;L2_44
242732;2026-06-01;29.263704;53.496178;Iran;Fars;DAY;Unclassified;C2H4:1,CaCO3:6,CH3OH:2,HCN:3,HCOOH:1,HNO3:1,CO:20,CO2:16,NH3:12,SO2:14;76;L2_39
242801;2026-06-01;41.76593;67.23698;Kazakhstan;South Kazakhstan;DAY;Unclassified;C2H2:1,NH3:2;3;L2_45
242808;2026-06-01;45.717194;72.41531;Kazakhstan;Zhambyl;DAY;Unclassified;CO2:1;1;L2_46
242809;2026-06-01;51.509045;76.81359;Kazakhstan;Pavlodar;DAY;Unclassified;CO2:1;1;L2_47
242810;2026-06-02;16.852365;31.676363;Sudan;Northern;DAY;fire_type_1;CO2_1:8,CO2_2:1,CO_3:9,HCOOH_1:1,HNO3_1:1;20;L3_6
242811;2026-06-02;22.978254;-9.784415;Mauritania;Tiris Zemmour;DAY;fire_type_1;C2H4_1:15,CO2_1:25,CO2_2:4,CO_3:43,HCOOH_1:1,HNO3_1:5;93;L3_4
242813;2026-06-02;23.264002;54.779182;United Arab Emirates;Abu Dhabi;DAY;fire_type_1;C2H4_1:20,CO2_1:141,CO2_2:16,CO2_3:13,CO_2:9,CO_3:58,HCOOH_1:18,HNO3_1:252,NH3_2:0;527;L3_8
242831;2026-06-02;23.874176;-0.037030127;Algeria;Adrar;DAY;fire_type_1;C2H4_1:5,CO2_1:15,CO2_2:6,CO2_3:2,CO_3:15,HCOOH_1:11,HNO3_1:18;72;L3_10
242840;2026-06-02;16.887535;6.4907837;Niger;Agadez;DAY;fire_type_1;C2H4_1:1,CO2_1:2,CO_3:1;4;L3_11
242849;2026-06-02;18.488543;14.149735;Niger;Agadez;DAY;fire_type_1;C2H4_1:2,CO2_1:2,CO2_3:2,CO_3:5;11;L3_12
242870;2026-06-02;19.0699;54.53271;Oman;Dhofar;NIGHT;others;C2H4_1:3,HCOOH_1:3,HNO3_1:37,SO2_1:2,SO2_6:4;49;L3_5
243148;2026-06-02;25.14263;41.04135;Saudi Arabia;Al Madinah;DAY;fire_type_1;C2H4_1:11,CO2_1:21,CO2_2:3,CO_3:23,HCOOH_1:1,HNO3_1:2;61;L3_13
243197;2026-06-02;22.518984;45.323864;Saudi Arabia;Ar Riyad;NIGHT;others;HNO3_1:5,NH3_3:1,SO2_6:2;8;L3_7
243198;2026-06-02;23.852781;32.223263;Egypt;Aswan;DAY;fire_type_1;CO2_1:9,CO2_2:6,CO2_3:4,CO_3:5,HCOOH_1:1,HNO3_1:1;26;L3_14
243349;2026-06-02;26.07104;53.894367;Persian Gulf;;NIGHT;others;SO2_6:9;9;L3_9
243385;2026-06-02;30.099651;12.62136;Libya;Al Jabal al Gharbi;DAY;fire_type_1;C2H4_1:2,CO2_1:14,CO2_2:2,CO_3:2,HNO3_1:34;54;L3_15
243535;2026-06-02;35.72071;-114.9079;United States;Nevada;DAY;fire_type_1;CO2_1:2,CO2_2:12,CO_3:11,HCOOH_1:2,HNO3_1:3,NH3_3:1;31;L3_16
243667;2026-06-02;34.064938;115.59942;China;Henan;DAY;fire;HCOOH_1:14,NH3_2:3,NH3_3:5;22;L3_17
243736;2026-06-02;39.43292;84.90269;China;Xinjiang Uygur;DAY;fire_type_1;C2H4_1:7,CO2_1:152,CO2_2:8,CO_2:4,CO_3:25,HNO3_1:3,NH3_3:1;200;L3_19
243744;2026-06-02;40.440502;63.71025;Uzbekistan;Buxoro;DAY;fire_type_1;CO2_1:14,CO2_2:7,CO_2:2,CO_3:9;32;L3_18
243915;2026-06-02;40.65973;109.67523;China;Nei Mongol;DAY;extrem;CO_2 CO_3 Band_1 Band_3;4;L3_3
243972;2026-06-02;53.3086;-124.07935;Canada;British Columbia;NIGHT;extrem;CO_1 CO_2 CO_3 CO2_1 CO2_2 Band_3;6;L3_2
243973;2026-06-02;55.409378;-100.48835;Canada;Manitoba;NIGHT;extrem;CO_1 CO_2 CO_3 CO2_1 Band_3;5;L3_1
243974;2026-06-02;12.081377;54.12722;Arabian Sea;;DAY;Unclassified;C2H4:2;2;L2_1
243976;2026-06-02;33.908512;68.37092;Afghanistan;Ghazni;DAY;Unclassified;C2H4:8,CaCO3:3,CH3OH:1,HCOOH:7,HNO3:7,CO:21,CO2:16,NH3:21,SO2:35;119;L2_2
244040;2026-06-02;42.226723;-123.763115;United States;Oregon;NIGHT;Unclassified;NH3:2;2;L2_5
244051;2026-06-02;-3.9707396;-156.04062;South Pacific Ocean;;DAY;Unclassified;SO2:1;1;L2_6
244052;2026-06-02;62.700523;-125.87956;Canada;Northwest Territories;DAY;Unclassified;HNO3:1;1;L2_8
244053;2026-06-02;63.62393;-104.621544;Canada;Northwest Territories;DAY;Unclassified;HCN:1;1;L2_9
244054;2026-06-02;-7.372579;-1.4772599;South Atlantic Ocean;;NIGHT;Unclassified;CH3OH:1;1;L2_10
244055;2026-06-02;-6.1801233;-178.142;South Pacific Ocean;;DAY;Unclassified;HCOOH:2,NH3:2;4;L2_11
244059;2026-06-02;-70.56172;-63.22609;Antarctica;;NIGHT;Unclassified;C2H4:1;1;L2_12
244060;2026-06-02;23.123615;-0.038704317;Algeria;Adrar;DAY;Unclassified;C2H2:2,C2H4:1,CaCO3:1,CH3OH:3,HCOOH:1,HNO3:2,CO:22,CO2:12,NH3:15,SO2:18;77;L2_13
244108;2026-06-02;28.973877;28.961159;Egypt;Matrouh;DAY;Unclassified;C2H2:1,HNO3:4,CO:5,CO2:2,NH3:3;15;L2_15
244114;2026-06-02;-51.500137;57.677914;Indian Ocean;;DAY;Unclassified;HNO3:2;2;L2_17
244116;2026-06-02;20.34216;81.650635;India;Chhattisgarh;DAY;Unclassified;CO:6;6;L2_18
244163;2026-06-02;-32.76103;-154.49515;South Pacific Ocean;;NIGHT;Unclassified;NH3:2;2;L2_20
244165;2026-06-02;-5.2900696;-160.75041;South Pacific Ocean;;NIGHT;Unclassified;CH3OH:1,HNO3:1,NH3:1;3;L2_7
244167;2026-06-02;4.3511786;-166.10733;North Pacific Ocean;;NIGHT;Unclassified;C2H4:2;2;L2_21
244169;2026-06-02;23.454504;-5.102097;Mali;Timbuktu;NIGHT;Unclassified;C2H4:1,HNO3:3,CO:1,CO2:1,SO2:3;9;L2_14
244174;2026-06-02;79.3131;-74.24173;Baffin Bay;;DAY;Unclassified;HCOOH:3;3;L2_22
244177;2026-06-02;18.081087;85.9983;Bay of Bengal;;NIGHT;Unclassified;CO:2;2;L2_19
244179;2026-06-02;30.570019;-90.017784;United States;Louisiana;DAY;Unclassified;NH3:2;2;L2_23
244181;2026-06-02;35.504845;-86.637115;United States;Tennessee;DAY;Unclassified;NH3:2;2;L2_24
244183;2026-06-02;28.16943;56.576202;Iran;Kerman;NIGHT;Unclassified;HNO3:9,CO:1,CO2:1,NH3:2,SO2:2;15;L2_3
244185;2026-06-02;39.41503;-78.092636;United States;West Virginia;DAY;Unclassified;C2H2:1;1;L2_25
244186;2026-06-02;40.799206;-90.17269;United States;Illinois;DAY;Unclassified;NH3:2;2;L2_26
244188;2026-06-02;-26.347614;140.25499;Australia;South Australia;NIGHT;Unclassified;CO2:2;2;L2_27
244190;2026-06-02;-17.12511;148.50333;Coral Sea;;NIGHT;Unclassified;NH3:2;2;L2_28
244192;2026-06-02;34.69533;112.69779;China;Henan;DAY;Unclassified;NH3:2;2;L2_29
244194;2026-06-02;42.94532;124.88607;China;Jilin;DAY;Unclassified;NH3:1;1;L2_30
244195;2026-06-02;18.68563;-70.42593;Dominican Republic;San José de Ocoa;DAY;Unclassified;NH3:2;2;L2_31
244197;2026-06-02;10.642257;39.45342;Ethiopia;Amhara;NIGHT;Unclassified;NH3:2;2;L2_32
244202;2026-06-02;28.798893;29.903093;Egypt;Bani Suwayf;NIGHT;Unclassified;HCOOH:4,HNO3:4;8;L2_16
244210;2026-06-02;-69.566124;-0.5631119;Southern Ocean;;NIGHT;Unclassified;SO2:2;2;L2_33
244212;2026-06-02;-30.183062;-50.11039;South Atlantic Ocean;;NIGHT;Unclassified;NH3:2;2;L2_34
244214;2026-06-02;-27.573217;17.023308;Namibia;!Karas;DAY;Unclassified;HNO3:1;1;L2_35
244215;2026-06-02;-26.936625;22.508102;South Africa;Northern Cape;DAY;Unclassified;CO2:2;2;L2_36
244217;2026-06-02;-1.4101399;29.15305;Congo DRC;Nord-Kivu;DAY;Unclassified;CO2:1;1;L2_37
244218;2026-06-02;11.415903;19.238487;Chad;Salamat;DAY;Unclassified;HCOOH:2;2;L2_38
244220;2026-06-02;15.947429;31.467724;Sudan;North Kurdufan;DAY;Unclassified;CO:5,CO2:1,NH3:2,SO2:2;10;L2_39
244226;2026-06-02;16.738161;23.627031;Chad;Ennedi Est;DAY;Unclassified;CaCO3:1,HCOOH:1,CO2:1,SO2:1;4;L2_40
244232;2026-06-02;22.867687;41.739517;Saudi Arabia;Makkah;DAY;Unclassified;CO:3,SO2:1;4;L2_42
244254;2026-06-02;40.51419;33.819054;Turkiye;Çankiri;DAY;Unclassified;HNO3:2;2;L2_43
244256;2026-06-02;56.952663;52.79249;Russian Federation;Udmurt;DAY;Unclassified;NH3:2;2;L2_44
244258;2026-06-02;-7.5196595;-41.258736;Brazil;Piauí;NIGHT;Unclassified;C2H4:1;1;L2_45
244259;2026-06-02;72.1256;-77.71785;Canada;Nunavut;DAY;Unclassified;NH3:2;2;L2_46
244261;2026-06-02;-22.788572;-32.45143;South Atlantic Ocean;;NIGHT;Unclassified;SO2:2;2;L2_47
244263;2026-06-02;-25.754738;-124.100006;South Pacific Ocean;;DAY;Unclassified;NH3:2;2;L2_48
244265;2026-06-02;-2.55277;-125.94212;South Pacific Ocean;;DAY;Unclassified;HNO3:1,NH3:1;2;L2_49
244269;2026-06-02;32.133076;-113.15623;United States;Arizona;DAY;Unclassified;C2H2:1,C2H4:2,HCOOH:1,HNO3:1,CO:4,CO2:12,NH3:2,SO2:7;30;L2_4
244306;2026-06-02;-48.052914;-115.4456;South Pacific Ocean;;NIGHT;Unclassified;HNO3:2;2;L2_50
244308;2026-06-02;-27.522673;39.810303;Indian Ocean;;DAY;Unclassified;NH3:2;2;L2_51
244310;2026-06-02;19.144016;-141.11604;North Pacific Ocean;;NIGHT;Unclassified;NH3:2;2;L2_52
244312;2026-06-02;23.915014;-151.02742;North Pacific Ocean;;NIGHT;Unclassified;NH3:2;2;L2_53
244337;2026-06-02;55.99681;153.4596;Sea of Okhotsk;;NIGHT;Unclassified;SO2:3;3;L2_54
244340;2026-06-02;19.625446;-92.16505;Gulf of Mexico;;DAY;Unclassified;SO2:2;2;L2_55
244342;2026-06-02;16.716473;20.355803;Chad;Borkou;NIGHT;Unclassified;HCOOH:1;1;L2_41
244347;2026-06-03;-6.6694765;21.709833;Congo DRC;Kasaï-Central;NIGHT;extrem;CO_1 CO_2 CO_3 CO2_1 Band_3;5;L3_1
244349;2026-06-03;14.914121;13.067719;Niger;Diffa;DAY;fire_type_1;CO2_1:11,CO_3:2,HNO3_1:1;14;L3_2
244357;2026-06-03;18.30101;35.169956;Sudan;Red Sea;DAY;fire_type_1;C2H4_1:5,CO2_1:4,CO2_2:4,CO_3:4,SO2_3:1;18;L3_4
244359;2026-06-03;18.200487;50.681683;Yemen;Hadramawt;NIGHT;others;HCOOH_1:13,HNO3_1:36,NH3_3:1,SO2_1:6,SO2_6:1;57;L3_3
244362;2026-06-03;24.53287;-5.6731095;Mali;Timbuktu;DAY;fire_type_1;C2H4_1:32,CO2_1:134,CO2_2:23,CO_3:102,HNO3_1:13,SO2_3:17;321;L3_6
244369;2026-06-03;16.464016;19.56274;Chad;Borkou;DAY;fire;C2H4_1:1,CO_3:3;4;L3_8
244371;2026-06-03;24.028969;45.005215;Saudi Arabia;Ar Riyad;DAY;fire_type_1;C2H4_1:27,CO2_1:65,CO2_2:8,CO_3:57,HNO3_1:20,SO2_3:12;189;L3_10
244372;2026-06-03;19.60642;54.294163;Oman;Dhofar;DAY;fire_type_1;C2H4_1:19,CO2_1:27,CO2_2:1,CO_3:14,HNO3_1:109;170;L3_11
244455;2026-06-03;18.6906;-1.6299082;Mali;Timbuktu;NIGHT;others;HCOOH_1:11,SO2_6:1;12;L3_5
244807;2026-06-03;24.582716;33.654724;Egypt;Al Bahr al Ahmar;DAY;others;CO2_1:2,CO2_2:3,HNO3_1:1;6;L3_12
244871;2026-06-03;29.179342;61.905334;Pakistan;Balochistan;DAY;fire_type_1;C2H4_1:1,CO2_1:28,CO2_2:10,CO_3:21,HNO3_1:10,NH3_2:1;71;L3_13
244888;2026-06-03;28.414568;73.09745;India;Rajasthan;DAY;fire_type_1;CO2_1:4,CO2_2:4,CO_3:2,NH3_1:7,NH3_2:9;26;L3_14
244927;2026-06-03;29.647135;12.70174;Libya;Al Jabal al Gharbi;DAY;fire_type_1;C2H4_1:3,CO2_1:17,CO2_2:1,CO_3:4,HNO3_1:30;55;L3_15
245005;2026-06-03;32.548157;-111.871735;United States;Arizona;DAY;fire_type_1;CO2_1:17,CO2_2:5,CO2_3:7,CO_3:11,HNO3_1:1,NH3_3:1,SO2_3:5,SO2_6:1;48;L3_16
245134;2026-06-03;32.23766;55.76079;Iran;Yazd;NIGHT;others;HNO3_1:7;7;L3_7
245231;2026-06-03;39.696274;90.33317;China;Xinjiang Uygur;DAY;fire_type_1;CO2_1:32,CO2_2:5,CO2_3:6,CO_1:3,CO_2:4,CO_3:6,HNO3_1:7;63;L3_17
245292;2026-06-03;42.891293;68.23799;Kazakhstan;South Kazakhstan;DAY;fire_type_1;CO2_1:3,CO_2:1,CO_3:5;9;L3_18
245309;2026-06-03;44.6203;64.12277;Kazakhstan;Qyzylorda;NIGHT;calcite;CaCO3_1:6;6;L3_9
245316;2026-06-03;21.632387;-121.2562;North Pacific Ocean;;DAY;Unclassified;NH3:2;2;L2_1
245318;2026-06-03;32.336594;-113.47595;United States;Arizona;DAY;Unclassified;C2H4:3,HCOOH:1,HNO3:3,CO:3,CO2:5,NH3:1,SO2:1;17;L2_2
245335;2026-06-03;41.66293;-108.177315;United States;Wyoming;DAY;Unclassified;CO2:1;1;L2_3
245336;2026-06-03;-14.546482;125.781654;Australia;Western Australia;NIGHT;Unclassified;NH3:2;2;L2_4
245338;2026-06-03;8.081445;156.15259;North Pacific Ocean;;NIGHT;Unclassified;HCOOH:2;2;L2_5
245340;2026-06-03;-70.42883;-64.68698;Antarctica;;NIGHT;Unclassified;NH3:1;1;L2_6
245341;2026-06-03;37.130135;106.50911;China;Ningxia Hui;DAY;Unclassified;HCOOH:1;1;L2_7
245342;2026-06-03;43.76631;109.08615;Mongolia;Dornogovi;DAY;Unclassified;CO2:1;1;L2_8
245343;2026-06-03;16.439707;-93.08414;Mexico;Chiapas;DAY;Unclassified;CO2:2;2;L2_9
245345;2026-06-03;31.79039;-76.39068;North Atlantic Ocean;;DAY;Unclassified;CH3OH:1;1;L2_10
245346;2026-06-03;40.828613;89.48125;China;Xinjiang Uygur;NIGHT;Unclassified;HNO3:3;3;L2_12
245349;2026-06-03;32.45662;-42.513027;North Atlantic Ocean;;NIGHT;Unclassified;NH3:2;2;L2_13
245351;2026-06-03;66.74462;-148.9222;United States;Alaska;DAY;Unclassified;CaCO3:1;1;L2_14
245352;2026-06-03;15.074394;-104.47504;North Pacific Ocean;;NIGHT;Unclassified;NH3:2;2;L2_15
245354;2026-06-03;21.570278;2.8742576;Algeria;Tamanghasset;DAY;Unclassified;C2H2:1,C2H4:2,CH3OH:2,HCN:1,HCOOH:5,HNO3:3,CO:9,CO2:13,NH3:6,SO2:7;49;L2_16
245373;2026-06-03;31.491247;-3.0895498;Algeria;Béchar;DAY;Unclassified;CO:1;1;L2_18
245374;2026-06-03;-15.7931795;-72.093796;Peru;Arequipa;DAY;Unclassified;SO2:1;1;L2_19
245375;2026-06-03;-0.69282085;92.25341;Indian Ocean;;NIGHT;Unclassified;NH3:2;2;L2_20
245377;2026-06-03;22.84905;1.0771407;Algeria;Adrar;NIGHT;Unclassified;HCOOH:5,HNO3:2,NH3:2;9;L2_17
245382;2026-06-03;-11.192971;68.11774;Indian Ocean;;NIGHT;Unclassified;SO2:2;2;L2_21
245384;2026-06-03;24.047411;52.805294;United Arab Emirates;Abu Dhabi;NIGHT;Unclassified;C2H4:1,CaCO3:1,HNO3:9,CO:1,CO2:4,NH3:2,SO2:5;23;L2_23
245395;2026-06-03;27.262697;53.419968;Iran;Fars;DAY;Unclassified;C2H2:1,C2H4:6,CaCO3:4,CH3OH:3,HCOOH:11,HNO3:5,CO:35,CO2:19,NH3:13,SO2:7;104;L2_22
245402;2026-06-03;28.993198;89.58047;China;Xizang;DAY;Unclassified;CO:1,CO2:2,SO2:2;5;L2_24
245406;2026-06-03;35.23112;79.9065;China;Xinjiang Uygur;DAY;Unclassified;SO2:1;1;L2_25
245407;2026-06-03;45.301483;87.77458;China;Xinjiang Uygur;DAY;Unclassified;C2H2:1,C2H4:1,CH3OH:1,HCN:1,HCOOH:1,HNO3:2,CO:3,CO2:6,NH3:2,SO2:5;23;L2_11
245470;2026-06-03;40.793877;54.668804;Turkmenistan;Balkan;DAY;Unclassified;C2H2:1,C2H4:1,CH3OH:1,HNO3:1;4;L2_26
245473;2026-06-03;2.85009;23.240189;Congo DRC;Bas-Uele;NIGHT;Unclassified;C2H2:1,NH3:1;2;L2_27
245478;2026-06-03;74.56868;-105.47789;The Northwestern Passages;;DAY;Unclassified;CH3OH:2;2;L2_28
245480;2026-06-03;-42.17159;39.48326;Indian Ocean;;DAY;Unclassified;NH3:2;2;L2_29
245531;2026-06-03;44.287495;59.76073;Uzbekistan;Qaraqalpaqstan;DAY;Unclassified;CaCO3:1;1;L2_30
245555;2026-06-03;63.20283;-126.03127;Canada;Northwest Territories;DAY;Unclassified;HNO3:1;1;L2_31
245556;2026-06-03;-9.642719;-146.2649;South Pacific Ocean;;DAY;Unclassified;NH3:1;1;L2_32
245564;2026-06-03;16.2128;0.058208756;Mali;Gao;DAY;Unclassified;C2H4:1,HCOOH:1;2;L2_33
245574;2026-06-03;21.173529;8.48245;Niger;Agadez;DAY;Unclassified;CO:1;1;L2_34
245579;2026-06-03;29.197405;22.51848;Libya;Al Wahat;DAY;Unclassified;C2H2:2,HCOOH:1,HNO3:3,CO:4,NH3:2;12;L2_35
245602;2026-06-03;-78.74642;-99.74042;Antarctica;;NIGHT;Unclassified;NH3:2;2;L2_36
245604;2026-06-04;-12.233659;-57.2838;Brazil;Mato Grosso;NIGHT;extrem;CO_1 CO_2 CO_3 CO2_1 Band_3;5;L3_2
245605;2026-06-04;22.019089;48.302345;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4_1:44,CO2_1:193,CO2_2:20,CO2_3:12,CO_3:111,HNO3_1:114,SO2_6:26;520;L3_4
245611;2026-06-04;17.687298;50.657066;Yemen;Hadramawt;NIGHT;others;C2H4_1:2,CaCO3_1:1,HNO3_1:76,NH3_3:3,SO2_6:7;89;L3_3
245646;2026-06-04;24.987665;-2.6827757;Algeria;Adrar;DAY;fire_type_1;C2H4_1:12,CO2_1:184,CO2_2:16,CO2_3:14,CO_3:72,HNO3_1:28,SO2_6:5;331;L3_6
245673;2026-06-04;17.915339;-1.1355305;Mali;Timbuktu;NIGHT;others;C2H4_1:1,HCOOH_1:8,HNO3_1:1,NH3_3:1,SO2_6:1;12;L3_5
245750;2026-06-04;19.892378;34.65701;Sudan;Red Sea;DAY;fire_type_1;CO2_1:1,CO_3:4;5;L3_7
245795;2026-06-04;20.598911;57.09976;Oman;Al Wusta;DAY;fire_type_1;C2H4_1:1,CO2_2:1,CO_3:2,HNO3_1:13;17;L3_8
246177;2026-06-04;24.666471;17.892754;Libya;Murzuq;DAY;fire_type_1;CO2_1:2,CO_3:2,SO2_6:1;5;L3_9
246221;2026-06-04;27.934074;63.18598;Pakistan;Balochistan;DAY;fire_type_1;C2H4_1:3,CO2_1:8,CO2_2:1,CO_3:12,HNO3_1:5;29;L3_10
246270;2026-06-04;28.075853;-113.62052;Mexico;Baja California;DAY;others;CO2_2:3,SO2_6:2;5;L3_11
246277;2026-06-04;29.089073;13.769427;Libya;Wadi ash Shati';DAY;fire_type_1;CO2_1:10,CO_3:9,HNO3_1:30;49;L3_12
246290;2026-06-04;29.349537;26.18867;Egypt;Matrouh;DAY;fire_type_1;C2H4_1:3,CO2_1:8,CO2_2:4,CO_3:1,HNO3_1:17;33;L3_13
246355;2026-06-04;31.174006;73.90254;Pakistan;Punjab;DAY;fire;HCOOH_1:18,NH3_2:8;26;L3_14
246594;2026-06-04;33.65478;114.47168;China;Henan;DAY;fire;HCOOH_1:9;9;L3_15
246611;2026-06-04;34.69185;-113.35317;United States;Arizona;DAY;fire_type_1;C2H4_1:1,CO2_1:1,CO2_2:1,CO_3:3,NH3_3:1,SO2_6:3;10;L3_16
246626;2026-06-04;38.543346;94.82713;China;Qinghai;DAY;fire_type_1;CO2_1:7,CO2_2:5,CO_3:3,HNO3_1:2;17;L3_17
246643;2026-06-04;45.29549;67.40031;Kazakhstan;South Kazakhstan;DAY;others;CO2_1:1,CO2_2:2,CaCO3_1:6,NH3_3:3;12;L3_18
246655;2026-06-04;60.54231;-113.00684;Canada;Northwest Territories;DAY;extrem;CO_1 CO_2 CO_3 Band_3;4;L3_1
246656;2026-06-04;-81.57007;170.85706;Southern Ocean;;NIGHT;Unclassified;HNO3:1;1;L2_1
246657;2026-06-04;-80.502594;162.50102;Southern Ocean;;NIGHT;Unclassified;HNO3:1;1;L2_2
246658;2026-06-04;-47.626236;158.75589;Tasman Sea;;DAY;Unclassified;C2H4:2;2;L2_3
246660;2026-06-04;12.781384;176.9646;North Pacific Ocean;;DAY;Unclassified;NH3:2;2;L2_4
246662;2026-06-04;-40.146477;-169.25642;South Pacific Ocean;;NIGHT;Unclassified;HCN:2;2;L2_5
246664;2026-06-04;14.214726;171.70528;North Pacific Ocean;;NIGHT;Unclassified;HCOOH:2;2;L2_6
246666;2026-06-04;28.06823;-111.00271;Mexico;Sonora;DAY;Unclassified;C2H4:1,HCOOH:2,CO:5,CO2:3,NH3:1,SO2:1;13;L2_7
246672;2026-06-04;27.589972;68.086754;Pakistan;Sindh;NIGHT;Unclassified;CO:2;2;L2_9
246680;2026-06-04;36.78277;-111.38773;United States;Arizona;DAY;Unclassified;HNO3:1,CO:3,CO2:4,NH3:1;9;L2_10
246688;2026-06-04;40.525085;-101.46869;United States;Nebraska;DAY;Unclassified;C2H4:1,NH3:1;2;L2_12
246689;2026-06-04;-43.30551;-120.1336;South Pacific Ocean;;NIGHT;Unclassified;NH3:2;2;L2_13
246691;2026-06-04;-31.222425;-121.10862;South Pacific Ocean;;NIGHT;Unclassified;HCOOH:2;2;L2_14
246693;2026-06-04;28.996412;73.04174;India;Rajasthan;DAY;Unclassified;C2H4:2,CaCO3:1,HCOOH:1,CO:4,CO2:6,NH3:8;22;L2_8
246698;2026-06-04;24.556963;38.026184;Saudi Arabia;Al Madinah;DAY;Unclassified;C2H2:2,CaCO3:2,CH3OH:4,HCOOH:2,HNO3:2,CO:28,CO2:6,NH3:11,SO2:6;63;L2_15
246716;2026-06-04;40.767143;95.03659;China;Gansu;DAY;Unclassified;C2H4:4,CH3OH:1,HCOOH:2,HNO3:1,CO:9,CO2:5,NH3:5,SO2:4;31;L2_17
246717;2026-06-04;42.480843;66.64402;Kazakhstan;South Kazakhstan;DAY;Unclassified;CH3OH:1;1;L2_18
246718;2026-06-04;44.41889;75.498024;Kazakhstan;Almaty;DAY;Unclassified;NH3:1;1;L2_19
246719;2026-06-04;54.597008;85.84468;Russian Federation;Kemerovo;DAY;Unclassified;NH3:1;1;L2_20
246720;2026-06-04;-62.25946;68.14187;Southern Ocean;;NIGHT;Unclassified;HNO3:3;3;L2_21
246723;2026-06-04;-36.37347;100.93564;Indian Ocean;;DAY;Unclassified;NH3:2;2;L2_22
246725;2026-06-04;35.946053;-76.22959;United States;North Carolina;DAY;Unclassified;HNO3:1;1;L2_23
246726;2026-06-04;24.655046;42.57082;Saudi Arabia;Al Qassim;NIGHT;Unclassified;C2H4:1,CaCO3:2,HCOOH:8,HNO3:4,CO2:2,NH3:3,SO2:8;28;L2_16
246737;2026-06-04;57.184994;160.37552;Russian Federation;Kamchatka;DAY;Unclassified;SO2:22;22;L2_24
246748;2026-06-04;-27.058249;78.55338;Indian Ocean;;DAY;Unclassified;C2H4:1,HCOOH:1;2;L2_25
246775;2026-06-04;-80.7006;20.453058;Antarctica;;NIGHT;Unclassified;HNO3:1,NH3:1;2;L2_26
246776;2026-06-04;-57.89783;159.69948;South Pacific Ocean;;NIGHT;Unclassified;NH3:2;2;L2_27
246778;2026-06-04;-51.3772;-134.15663;South Pacific Ocean;;NIGHT;Unclassified;NH3:2;2;L2_28
246780;2026-06-04;-41.542595;-149.09946;South Pacific Ocean;;NIGHT;Unclassified;HCOOH:2;2;L2_29
246782;2026-06-04;29.903728;-59.579086;North Atlantic Ocean;;NIGHT;Unclassified;NH3:2;2;L2_30
246784;2026-06-04;41.493458;-63.725163;North Atlantic Ocean;;NIGHT;Unclassified;HNO3:2;2;L2_31
246786;2026-06-04;70.96711;158.48415;East Siberian Sea;;DAY;Unclassified;NH3:2;2;L2_32
246788;2026-06-04;7.9313602;150.08994;North Pacific Ocean;;NIGHT;Unclassified;NH3:2;2;L2_33
246790;2026-06-04;27.154703;-2.003023;Algeria;Adrar;NIGHT;Unclassified;C2H4:2,HNO3:3,NH3:1;6;L2_35
246796;2026-06-04;-4.034502;-43.239357;Brazil;Maranhão;DAY;Unclassified;CO:2;2;L2_36
246798;2026-06-04;3.9398472;39.694023;Ethiopia;Somali;DAY;Unclassified;CO2:2;2;L2_37
246850;2026-06-04;34.38541;44.14538;Iraq;Sala ad-Din;DAY;Unclassified;CO:2,NH3:1;3;L2_38
246853;2026-06-04;36.013615;-147.58148;North Pacific Ocean;;NIGHT;Unclassified;NH3:2;2;L2_39
246855;2026-06-04;39.076992;55.34359;Turkmenistan;Balkan;DAY;Unclassified;CO2:2;2;L2_40
246857;2026-06-04;43.596664;-154.54497;North Pacific Ocean;;NIGHT;Unclassified;NH3:2;2;L2_41
246859;2026-06-04;49.718643;40.393307;Russian Federation;Voronezh;DAY;Unclassified;CO2:2;2;L2_42
246861;2026-06-04;20.23413;-61.55901;North Atlantic Ocean;;DAY;Unclassified;C2H4:2;2;L2_43
246863;2026-06-04;36.592335;-117.07128;United States;California;NIGHT;Unclassified;HNO3:1;1;L2_11
246864;2026-06-04;17.40822;16.948868;Chad;Borkou;DAY;Unclassified;HNO3:1,CO:2,CO2:1,NH3:1,SO2:2;7;L2_44
246870;2026-06-04;17.899677;5.6153393;Niger;Agadez;DAY;Unclassified;NH3:1;1;L2_45
246890;2026-06-04;-8.344399;-21.755768;South Atlantic Ocean;;DAY;Unclassified;CaCO3:1;1;L2_46
